NUMBER,NAME,POSITION,HEIGHT,CLASS,HOMETOWN
1,Molly Davis,G,"5' 7""",Fifth Year,"Midland, Mich."
2,Taylor McCabe,G,"5' 9""",So.,"Fremont, Neb."
3,Sydney Affolter,G,"5' 11""",Jr.,"Chicago, Ill."
4,Kylie Feuerbach,G,"6' 0""",RS Jr.,"Sycamore, Ill."
13,Kennise Johnson,G,"5' 4""",Fr.,"Joliet, Ill."
20,Kate Martin,G,"6' 0""",Graduate Student,"Edwardsville, Ill."
22,Caitlin Clark,G,"6' 0""",Sr.,"West Des Moines, Iowa"
23,Jada Gyamfi,F,"6' 1""",So.,"Johnston, Iowa"
24,Gabbie Marshall,G,"5' 9""",Fifth Year,"Cincinnati, Ohio"
34,AJ Ediger,F,"6' 2""",Jr.,"Hudsonville, Mich."
35,Ava Jones,F,"6' 2""",Fr.,"Nickerson, Kan."
40,Sharon Goodman,C,"6' 3""",RS Jr.,"Lime Springs, Iowa"
44,Addison O'Grady,F/C,"6' 3""",Jr.,"Aurora, Colo."
45,Hannah Stuelke,F,"6' 2""",So.,"Cedar Rapids, Iowa"