FULL NAME,POS.,HT.,YR.,HOMETOWN / HIGH SCHOOL
Kiki Rice,G,5' 11'',So.,"Bethesda, Md. / Sidwell Friends School"
Londynn Jones,G,5' 4'',So.,"Riverside, Calif. / Centennial"
Emily Bessoir,F,6' 4'',Sr.,"Munich, Germany / Wilhelm-Hausenstein Gymnasium"
Charisma Osborne,G,5' 9'',Gr.,"Moreno Valley, Calif. / Windward School"
Lina Sontag,F,6' 3'',So.,"Kleinmachnow, Germany / Schadow Gymnasium"
Christeen Iwuala,F,6' 2'',So.,"San Antonio, Texas / Ronald Reagan"
Gabriela Jaquez,F,6' 0'',So.,"Camarillo, Calif. / Camarillo"
Angela DugaliÄ‡,F,6' 4'',Sr.,"Des Plaines, Ill. / Maine West"
Amanda Muse,F,6' 4'',Fr.,"Brentwood, Calif. / Heritage"
Camryn Brown,G,5' 11'',Gr.,"Lewisville, Texas / Prestonwood Christian Academy"
Izzy Anstey,F,6' 4'',Sr.,"Melbourne, Victoria, Australia / Caulfield Grammar School"
Lauren Betts,C,6' 7'',So.,"Centennial, Colo. / Grandview"
