Offense/Defense/Scoring Margin,G,Offense PTS,Offense AVG/G,O ense Scoring Margin,Defense (scoring margin),Margin(scoring margin),PTS(scoring defense),AVG/G(scoring defense)
Michigan State,8,751,93.9,93.9,58.8,35.1,470,58.8
Iowa,9,821,91.2,91.2,65.1,26.1,586,65.1
Ohio State,8,670,83.8,83.8,57.8,26,462,57.8
Minnesota,8,630,78.8,78.8,53.8,25,430,53.8
Nebraska,9,735,81.7,81.7,57.1,24.6,514,57.1
Illinois,6,498,83,83,58.7,24.3,352,58.7
Michigan,8,605,75.6,75.6,53.8,21.9,430,53.8
Indiana,8,631,78.9,78.9,59.4,19.5,475,59.4
Penn State,9,755,83.9,83.9,64.4,19.4,580,64.4
Rutgers,11,781,71,71,62.8,8.2,691,62.8
Purdue,8,539,67.4,67.4,61.1,6.3,489,61.1
Maryland,9,732,81.3,81.3,75.6,5.8,680,75.6
Wisconsin,8,529,66.1,66.1,61.5,4.6,492,61.5
Northwestern,8,546,68.3,68.3,82.6,-14.4,661,82.6